company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,reported_year,month
Rock Content,3565.0,15.0,2023-01-12,"content marketing, advertising","Boca Raton, FL",Terra,Private,,1970-01-01 00:00:00.000002023,1970-01
Lattice,1752.0,15.0,2023-01-12,"Enterprise applications, HR",San Francisco,Lattice CEO Jack Altman,Private,,1970-01-01 00:00:00.000002023,1970-01
Citrix Systems,16715.0,15.0,2023-01-10,"Security, SaaS","Fort Lauderdale, FL",TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
WHOOP,7214.0,15.0,2022-07-21,Fitness,Boston,Front Office Sports,Private,,1970-01-01 00:00:00.000002022,1970-01
Papa,2018.0,15.0,2022-07-14,Elder Care,Miami,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Sundae,8260.0,15.0,2022-06-28,"PropTech, Real Estate",San Francisco,Real Trends,Private,,1970-01-01 00:00:00.000002022,1970-01
TruePill,12165.0,15.0,2022-06-08,Health Care,"Hayward, California",TruePill,Private,,1970-01-01 00:00:00.000002022,1970-01
Terminus,16810.0,15.0,2022-05-27,Marketing,Atlanta,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
Outside Inc,11515.0,15.0,2022-05-20,Media/entertainment,Boulder,Denver Business Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Stream,20.0,15.0,2022-06-30,Communications Infrastructure,Boulder,Pragmatic Engineer,Private,,1970-01-01 00:00:00.000002022,1970-01
Carbon Health,450.0,16.0,2023-01-06,Health Care,San Francisco,Carbon Health CEO Eren Bali,Private,,1970-01-01 00:00:00.000002023,1970-01
Jam City,200.0,17.0,2022-08-04,"Mobile Apps, Gaming",Culver City,VentureBeat,Private,,1970-01-01 00:00:00.000002022,1970-01
Next Insurance,150.0,17.0,2022-07-07,InsurTech,Palo Alto,CTech,Private,,1970-01-01 00:00:00.000002022,1970-01
OwnBackup,170.0,17.0,2022-11-15,"SaaS, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Everlane,30.0,17.0,2023-01-05,"Fashion, e-commerce",San Francisco,The Information,Private,,1970-01-01 00:00:00.000002023,1970-01
Patreon,80.0,17.0,2022-09-13,Social media,San Francisco,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Recharge,84.0,17.0,2022-10-27,Fintech,Los Angeles,Recharge CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Nextiva,4114.0,17.0,2022-12-06,Customer service,Phoenix,Channel Futures,Private,,1970-01-01 00:00:00.000002022,1970-01
Grove Collaborative,12317.0,17.0,2022-03-29,E-commerce,San Francisco,Retail Dive,Private,,1970-01-01 00:00:00.000002022,1970-01
Lithic,27.0,18.0,2022-12-07,Fintech,New York,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
SQream Technologies,30.0,18.0,2022-07-06,Data Analytics,New York,CTech,Private,,1970-01-01 00:00:00.000002022,1970-01
Emotive,30.0,18.0,2022-07-07,SMS Marketing,Los Angeles,dot.LA,Private,,1970-01-01 00:00:00.000002022,1970-01
Amount,5150.0,18.0,2022-06-27,FinTech,Chicago,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Ro,2702.0,18.0,2022-06-23,Health Care,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Socure,104.0,19.0,2023-01-05,"cybsersecurity, predictive analytics","Incline Village, NV",Biometric Update,Private,,1970-01-01 00:00:00.000002023,1970-01
Postscript,43.0,19.0,2022-06-26,"Marketing Tech, SMS Marketing",San Francisco,Alex Beller,Private,,1970-01-01 00:00:00.000002022,1970-01
Qumolo,80.0,19.0,2022-06-29,Data storage,Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
OfferUp,15539.0,19.0,2022-11-15,"E-commerce, marketplace","Bellevue, WA",GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Change.org,10750.0,19.0,2022-07-28,CivicTech,San Francisco,Change.org,Private,,1970-01-01 00:00:00.000002022,1970-01
HomeLight,9909.0,19.0,2022-06-29,"Proptech, Real Estate",San Francisco,The Real Deal,Private,,1970-01-01 00:00:00.000002022,1970-01
Homeward,120.0,20.0,2022-08-11,"Real Estate, PropTech",Austin,The Real Deal,Private,,1970-01-01 00:00:00.000002022,1970-01
Turntide,130.0,20.0,2022-07-28,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Flyhomes,150.0,20.0,2022-07-20,"Real Estate, PropTech",Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Curology,150.0,20.0,2022-03-16,E-commerce,San Francisco,SF Business Times,Private,,1970-01-01 00:00:00.000002022,1970-01
MasterClass,156.0,20.0,2022-06-22,Edtech,San Francisco,MasterClass CEO David Rogier,Private,,1970-01-01 00:00:00.000002022,1970-01
Lacework,200.0,20.0,2022-05-26,Cybersecurity,San Jose,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Equitybee,25.0,20.0,2022-10-31,Fintech,San Francisco,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Airtable,254.0,20.0,2022-12-08,"Data science, enterprise",San Francisco,Airtable,Private,,1970-01-01 00:00:00.000002022,1970-01
Plaid,260.0,20.0,2022-12-07,Fintech,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Nate,30.0,20.0,2022-08-30,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time.",1970-01-01 00:00:00.000002022,1970-01
Coterie Insurance,30.0,20.0,2022-05-27,InsurTech,Cincinnati,CincyInno,Private,,1970-01-01 00:00:00.000002022,1970-01
Intrinsic,40.0,20.0,2023-01-11,"robotics, AI","Mountain View, CA",This Information,Private,,1970-01-01 00:00:00.000002023,1970-01
Rhino,57.0,20.0,2022-02-03,"PropTech, InsurTech",New York,The Real Deal,Private,,1970-01-01 00:00:00.000002022,1970-01
Flexport,640.0,20.0,2023-01-11,shipping and logistics,San Francisco,CNBC,Private,,1970-01-01 00:00:00.000002023,1970-01
Redesign Health,67.0,20.0,2022-10-10,health care,New York,Fast Company,Private,,1970-01-01 00:00:00.000002022,1970-01
Astronomer,76.0,20.0,2023-01-04,"Data analytics, cloud services",Cincinnati,Astronomer,Private,,1970-01-01 00:00:00.000002023,1970-01
Calm,90.0,20.0,2022-08-11,"personal health, wellness",San Francisco,Wall Street Journal,Private,,1970-01-01 00:00:00.000002022,1970-01
Shippo,10412.0,20.0,2022-11-03,Logistics,San Francisco,Shippo CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Brightline,14631.0,20.0,2022-11-01,Health care,"Palo Alto, CA",Behavioral Health Business,Private,,1970-01-01 00:00:00.000002022,1970-01
Scale,16967.0,20.0,2023-01-09,"AI, image recognition",San Francisco,Scale,Private,,1970-01-01 00:00:00.000002023,1970-01
OpenSea,10243.0,20.0,2022-07-14,"Crypto, NFT marketplace",New York,Devin Finzer,Private,,1970-01-01 00:00:00.000002022,1970-01
Buzzer,3179.0,20.0,2022-06-20,"Media, Sports",New York,Sportico,Private,,1970-01-01 00:00:00.000002022,1970-01
Greenlight,104.0,21.0,2023-01-12,"Fintech, banking",Atlanta,TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
Flipboard,24.0,21.0,2022-10-16,News,"Palo Alto, CA",Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
Advata,32.0,21.0,2022-10-28,"health care, analytics","Bellevue, WA",GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Superhuman,23.0,22.0,2022-06-03,Email Software,San Francisco,CEO Rahul Vohra,Private,,1970-01-01 00:00:00.000002022,1970-01
Exodus,59.0,22.0,2022-11-04,"Cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private,,1970-01-01 00:00:00.000002022,1970-01
Tonkean,23.0,23.0,2022-06-15,Software,San Francisco,The Marker,Private,,1970-01-01 00:00:00.000002022,1970-01
Lokalise,76.0,23.0,2022-11-16,"Saas, APIs","Dover, DE",Lokalise founders,Private,,1970-01-01 00:00:00.000002022,1970-01
Karbon,14648.0,23.0,2022-09-12,"Productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,,1970-01-01 00:00:00.000002022,1970-01
Loom,57.0,24.0,2022-10-20,Enterprise Communication,San Francisco,SFGate,Private,,1970-01-01 00:00:00.000002022,1970-01
Cedar,8408.0,24.0,2022-07-07,Health Care,New York,Business Insider,Private,,1970-01-01 00:00:00.000002022,1970-01
Hyperscience,100.0,25.0,2022-03-03,AI,New York,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
Celsius,150.0,25.0,2022-07-03,Crypto,"Hoboken, New Jersey",CTech,Private,,1970-01-01 00:00:00.000002022,1970-01
Baton,16.0,25.0,2022-06-29,"Transporation, Logistics",San Francisco,Freight Waves,Private,,1970-01-01 00:00:00.000002022,1970-01
Policygenius,170.0,25.0,2022-06-02,InsurTech,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
IRL,25.0,25.0,2022-06-02,Social Media,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Vise,25.0,25.0,2022-05-04,Fintech,New York,CityWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Section4,32.0,25.0,2022-05-12,Edtech,New York,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Capitolis,37.0,25.0,2022-11-17,Fintech,New York,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
On Deck,72.0,25.0,2022-05-05,Business development,San Francisco,TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Outschool,74.0,25.0,2022-12-10,EdTech,San Francisco,TechCrunch,Private,"Outschool laid off 31 people, or 18% of the company, back in July. In December it laid off another 43 people, which amounted to 25% of the staff at the time.",1970-01-01 00:00:00.000002022,1970-01
OneTrust,950.0,25.0,2022-06-09,Cybersecurity,Atlanta,OneTrust,Private,,1970-01-01 00:00:00.000002022,1970-01
OneStudyTeam,2946.0,25.0,2022-12-06,"health care, cloud infrastructure",Boston,Mobi Health News,Private,,1970-01-01 00:00:00.000002022,1970-01
Homeward,11881.0,25.0,2022-11-16,Proptech,"Austin, TX",Homeward,Private,,1970-01-01 00:00:00.000002022,1970-01
Medium,16762.0,25.0,2022-09-06,Publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,,1970-01-01 00:00:00.000002022,1970-01
SafeGraph,27.0,25.0,2022-06-27,"Artificial Intelligence, Machine Learning",San Francisco,SafeGraph,Private,,1970-01-01 00:00:00.000002022,1970-01
DataRobot,6452.0,26.0,2022-08-23,"AI, enterprise software",Boston,The Information,Private,,1970-01-01 00:00:00.000002022,1970-01
EquityZen,30.0,27.0,2022-10-31,Fintech,New York,Axios,Private,,1970-01-01 00:00:00.000002022,1970-01
Clear Capital,378.0,27.0,2022-10-14,PropTech,"Truckee, CA",TechCrunch,Private,,1970-01-01 00:00:00.000002022,1970-01
Shelf Engine,43.0,29.0,2022-07-29,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private,,1970-01-01 00:00:00.000002022,1970-01
Veev,100.0,30.0,2022-11-11,PropTech,San Mateo,Calcalistech,Private,,1970-01-01 00:00:00.000002022,1970-01
Pacaso,100.0,30.0,2022-10-11,PropTech,San Francisco,Inman,Private,,1970-01-01 00:00:00.000002022,1970-01
Snappy,100.0,30.0,2023-01-13,"social impact, company benefits",New York,Calcalistech,Private,,1970-01-01 00:00:00.000002023,1970-01
Kraken,1100.0,30.0,2022-11-30,Cryptocurrency,San Francisco,Kraken,Private,,1970-01-01 00:00:00.000002022,1970-01
AtoB,32.0,30.0,2022-10-19,FinTech,San Francisco,SFGate,Private,,1970-01-01 00:00:00.000002022,1970-01
Genesis,60.0,30.0,2023-01-05,"Cryptocurrency, blockchain",New York,CNBC,Private,,1970-01-01 00:00:00.000002023,1970-01
Almanac,8807.0,30.0,2022-08-13,"Collaboration, productivity",San Francisco,LinkedIn,Private,,1970-01-01 00:00:00.000002022,1970-01
SuperRare,15000.0,30.0,2023-01-06,"Blockchain, cryptocurrency","Newark, DE",TechCrunch,Private,,1970-01-01 00:00:00.000002023,1970-01
